gu,n,rent_mean,rent_median,rent_conv_mean,deposit_mean,deposit_median,area_mean,rent_per_area_mean,rent_per_area_median,reliable,rank_cheap,rank_value,rank_gap
양천구,38803,51.90833183001315,48.0,97.53266261629255,12166.48820967451,4573.0,48.500495193670595,1.2650715343989245,1.0594467333725721,True,10.0,1.0,9.0
중랑구,49966,46.103590441500224,41.0,69.32134378877636,6191.400892606973,3000.0,40.49681455389665,1.4020667956025417,1.2030075187969924,True,1.0,2.0,-1.0
도봉구,26818,53.112797374897454,50.0,69.58442808934298,4392.4348571854725,2000.0,46.120050600343056,1.4021694933648465,1.2950317871438664,True,12.0,3.0,9.0
구로구,55186,47.984289493712176,45.0,73.1428036322618,6708.937103613235,3000.0,42.63609991664553,1.424175957481059,1.2048192771084338,True,4.0,4.0,0.0
노원구,48831,54.44764596260572,50.0,75.20978202883414,5536.569617660912,2000.0,43.67642626610145,1.467191338222546,1.4541929229277752,True,16.0,5.0,11.0
은평구,53338,47.78934343244966,45.0,72.04297885653756,6467.636113090105,3000.0,40.14840374592223,1.4706318178012814,1.2121212121212122,True,3.0,6.0,-3.0
강동구,72669,47.6789552629044,44.0,83.12893880127702,9453.328943566032,5000.0,40.074818175563166,1.4764222477249032,1.2200165425971878,True,2.0,7.0,-5.0
송파구,110961,54.4276547615829,50.0,102.70466749578681,12873.870062454376,5600.0,41.46739356170186,1.6415223754995603,1.3026487190620928,True,15.0,8.0,7.0
강북구,30185,49.767897962564184,45.0,63.19593622660262,3580.810203743581,1000.0,39.737736425376845,1.6589206225020314,1.3333333333333333,True,7.0,9.0,-2.0
성북구,45603,53.76448917834353,50.0,78.8574861851194,6691.465868473565,2000.0,40.49683606341688,1.692451049916266,1.5,True,14.0,10.0,4.0
금천구,39218,48.18228874496405,48.0,70.57518664898771,5971.4394410729765,2000.0,35.6433410423785,1.7225697385447818,1.3888888888888888,True,5.0,11.0,-6.0
용산구,26541,60.32263290757696,58.0,99.36501012584304,10411.300591537622,3000.0,43.4570268264195,1.7306679113255052,1.5360983102918588,True,22.0,12.0,10.0
강서구,94607,51.83507562865327,50.0,78.19469452577505,7029.23170589914,3000.0,35.34333099030727,1.781883078316505,1.6683350016683351,True,9.0,13.0,-4.0
서초구,51505,64.16043102611397,60.0,129.8489186244054,17516.93002621105,5000.0,44.95119089408795,1.8254046464819351,1.6106043329532498,True,23.0,14.0,9.0
영등포구,67716,52.69076732234627,50.0,86.99708632376395,9148.351733711383,3000.0,36.39436780081517,1.8343947589652687,1.5436412424040908,True,11.0,15.0,-4.0
동작구,65467,51.382604976553075,50.0,80.42154367849452,7743.716987184383,2000.0,35.60684260772603,1.897750021984457,1.8421052631578947,True,8.0,16.0,-8.0
성동구,35842,59.15158194297193,55.0,99.54789332347525,10772.349701467552,2995.0,38.970077897438756,1.9499079725822666,1.7222222222222223,True,19.0,17.0,2.0
광진구,73701,53.515528961615175,50.0,77.96743400700126,6520.508012102957,2000.0,34.022963148396904,1.957924286863376,1.796138302649304,True,13.0,18.0,-5.0
관악구,107995,48.92828371683874,46.0,67.4381052016297,4935.952395944257,2000.0,30.888186980878746,1.9725714997065826,1.9712662880053458,True,6.0,19.0,-13.0
강남구,70692,68.75947773439711,69.0,131.8716720774628,16829.918491484186,5000.0,42.830087591240876,2.0130510118348077,1.8339446482160722,True,25.0,20.0,5.0
서대문구,47005,56.643931496649294,53.0,80.27911006807787,6302.714285714285,1000.0,36.232099755345175,2.0790998002972896,1.875,True,18.0,21.0,-3.0
마포구,74109,59.61517494501343,60.0,88.91624470374718,7813.618602329002,2000.0,35.4955509722166,2.0876573788310075,1.9642333626502493,True,20.0,22.0,-2.0
동대문구,58505,56.01408426630203,52.0,76.93257860439279,5578.265156824203,1000.0,34.68927946329374,2.1126207397774226,2.0,True,17.0,23.0,-6.0
종로구,22800,59.65890350877193,55.0,82.90449725877194,6198.825,1000.0,36.300709298245614,2.1171701236634006,2.0,True,21.0,24.0,-3.0
중구,19703,64.35278891539359,63.0,93.49100720702431,7770.191544434858,2000.0,35.80671882454448,2.2917921568479978,2.140672782874618,True,24.0,25.0,-1.0
