gu,n,rent_mean,rent_median,rent_conv_mean,deposit_mean,deposit_median,area_mean,rent_per_area_mean,rent_per_area_median,reliable
양천구,105498,51.81908661775579,48.0,95.99079522834555,11779.122296157273,4538.0,47.9089795067205,1.2884392556861475,1.071667782987274,True
중랑구,112150,47.8279982166741,45.0,70.57601840169416,6066.13871600535,3000.0,40.36419282211324,1.4453178249983247,1.2572685840012572,True
도봉구,48359,54.73390682189458,51.0,71.41019419859798,4447.009967120908,2000.0,46.33115899832503,1.4686590716731405,1.3827433628318586,True
노원구,177279,55.53988346053396,50.0,75.46250502738621,5312.699084493934,2000.0,43.68041656936242,1.4775310969389752,1.5082956259426847,True
은평구,53684,49.12420833022875,47.0,73.34775824733626,6459.613311228672,3000.0,40.67779235898964,1.4838264855716776,1.2533073388107505,True
강동구,115134,48.96657807424393,45.0,84.61693869751767,9506.762832873,5000.0,38.318842070978164,1.5813028877861206,1.3571428571428572,True
금천구,90370,49.8780126148058,50.0,76.17244544649773,7011.848755117849,2000.0,38.99850253402678,1.6391898424499205,1.3197969543147208,True
구로구,111083,51.77867900578846,50.0,69.95557362512716,4847.171898490318,1500.0,39.407368895330514,1.683809292469364,1.5590894917368257,True
송파구,184251,55.651214918779274,52.0,107.1313639003316,13728.039728413956,7000.0,40.17848781824794,1.7201223870570965,1.3309671694764862,True
강북구,151018,50.94060972864162,47.0,63.827395037346534,3436.476082321313,1000.0,40.88400538346422,1.7299489927311742,1.3888888888888888,True
성북구,63643,57.01934226859199,50.0,85.86178986691388,7691.319359552504,2138.0,42.608012774382104,1.7426825550434943,1.5322419056374714,True
영등포구,95010,51.243332280812545,50.0,79.2474961188296,7467.777023471213,2000.0,40.05400592569203,1.7828350903033037,1.5151515151515151,True
강서구,293613,51.73684407706743,50.0,78.97017832572128,7262.22246630769,3000.0,34.83057114977879,1.7969371085034709,1.6469594594594594,True
광진구,93763,54.45787784093939,51.0,80.77675784957819,7018.36800230368,2000.0,35.77288078453121,1.8729774508035828,1.697674418604651,True
용산구,16584,63.669741919922814,60.0,104.34096659430777,10845.65991316932,3000.0,42.714974493487695,1.9136553367629663,1.7182130584192439,True
동작구,107814,53.28745802956944,50.0,83.84148336486912,8147.740089413249,3000.0,36.36908457157698,1.9372808043989265,1.9047619047619047,True
서초구,110433,66.20826202312715,64.0,131.15454346753236,17319.008385174722,5000.0,42.82860016480581,1.9726329364418715,1.7854163190388788,True
강남구,106167,70.82362692738798,70.0,145.2337739716673,19842.70587847448,5000.0,45.05880282950446,1.995240147587944,1.8045774647887325,True
성동구,32715,63.14149472718936,60.0,108.44756808803301,12081.61956289164,2700.0,40.57289112028121,2.071650965027197,1.8181818181818181,True
관악구,1018321,51.69444899987332,50.0,68.95320694186803,4602.335451198591,2000.0,30.722624000683478,2.1171834186156264,2.1186440677966103,True
마포구,82352,63.2397755974354,63.0,96.32513818729358,8822.763357295513,2000.0,36.4019044589081,2.166154214625266,2.0191822311963654,True
동대문구,100250,57.522463840399006,55.0,80.28111654613465,6068.974054862843,1434.0,33.81370523690773,2.177515168887237,2.05,True
중구,45441,64.7936445060628,65.0,94.89305107171937,8026.508417508418,2000.0,37.259310534539296,2.1855145426962825,2.0,True
서대문구,66119,58.430420907757224,55.0,80.86001087055158,5981.223990078495,1000.0,35.8081860130976,2.194982491637214,2.0,True
종로구,17101,60.745219577802466,59.0,80.71094343898018,5324.193029647389,1000.0,35.97997579088942,2.2201315317003276,2.141982864137087,True
